Cuisine,Dish Name,Ingredients,Procedure
Georgian,Georgian Specialty,"Georgian spice blend, fresh seasonal vegetables, choice protein, herbs, olive oil",Marinate the choice protein in Georgian spice blend and herbs. Sauté with fresh seasonal vegetables and combine with herbs. Finish with a drizzle of olive oil and serve hot.
Peruvian,Ceviche,"fish, lime juice, red onions, cilantro, chili, salt, sweet potato, corn","Marinate diced fish in lime juice until opaque. Mix with thinly sliced onions, cilantro, and chili, then serve with sweet potato and corn."
Afghan,Kabuli Pulao,"basmati rice, lamb, carrots, raisins, almonds, onions, spices, salt, oil","Cook lamb with onions and spices. Layer parboiled rice with lamb, carrots, raisins, and almonds, then steam until flavors meld."
Spanish,Tortilla Española,"potatoes, eggs, onions, olive oil, salt, pepper","Thinly slice potatoes and onions, fry in olive oil until soft. Mix with beaten eggs, then cook slowly until set."
Puerto Rican,Puerto Rican Specialty,"Puerto Rican spice blend, fresh seasonal vegetables, choice protein, herbs, olive oil",Marinate the choice protein in Puerto Rican spice blend and herbs. Sauté with fresh seasonal vegetables and combine with herbs. Finish with a drizzle of olive oil and serve hot.
Tanzanian,Tanzanian Specialty,"Tanzanian spice blend, fresh seasonal vegetables, choice protein, herbs, olive oil",Marinate the choice protein in Tanzanian spice blend and herbs. Sauté with fresh seasonal vegetables and combine with herbs. Finish with a drizzle of olive oil and serve hot.
Indigenous Australian,Indigenous Australian Specialty,"Indigenous Australian spice blend, fresh seasonal vegetables, choice protein, herbs, olive oil",Marinate the choice protein in Indigenous Australian spice blend and herbs. Sauté with fresh seasonal vegetables and combine with herbs. Finish with a drizzle of olive oil and serve hot.
Bangladeshi,Bangladeshi Specialty,"Bangladeshi spice blend, fresh seasonal vegetables, choice protein, herbs, olive oil",Marinate the choice protein in Bangladeshi spice blend and herbs. Sauté with fresh seasonal vegetables and combine with herbs. Finish with a drizzle of olive oil and serve hot.
Tajik,Tajik Specialty,"Tajik spice blend, fresh seasonal vegetables, choice protein, herbs, olive oil",Marinate the choice protein in Tajik spice blend and herbs. Sauté with fresh seasonal vegetables and combine with herbs. Finish with a drizzle of olive oil and serve hot.
Vietnamese,Vietnamese Specialty,"Vietnamese spice blend, fresh seasonal vegetables, choice protein, herbs, olive oil",Marinate the choice protein in Vietnamese spice blend and herbs. Sauté with fresh seasonal vegetables and combine with herbs. Finish with a drizzle of olive oil and serve hot.
Filipino,Adobo,"chicken, vinegar, soy sauce, garlic, bay leaves, peppercorns, salt, oil","Marinate chicken in vinegar, soy sauce, garlic, and bay leaves. Brown the chicken, then simmer until tender and the sauce thickens."
Pakistani,Pakistani Specialty,"Pakistani spice blend, fresh seasonal vegetables, choice protein, herbs, olive oil",Marinate the choice protein in Pakistani spice blend and herbs. Sauté with fresh seasonal vegetables and combine with herbs. Finish with a drizzle of olive oil and serve hot.
